USER            PID   PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root              1      0   66220   5588 0            b699cb8c S init
root              2      0       0      0 0                   0 S [kthreadd]
root              3      2       0      0 0                   0 S [ksoftirqd/0]
root              5      2       0      0 0                   0 S [kworker/0:0H]
root              7      2       0      0 0                   0 S [rcu_preempt]
root              8      2       0      0 0                   0 S [rcu_sched]
root              9      2       0      0 0                   0 S [rcu_bh]
root             10      2       0      0 0                   0 S [migration/0]
root             11      2       0      0 0                   0 S [migration/1]
root             12      2       0      0 0                   0 S [ksoftirqd/1]
root             14      2       0      0 0                   0 S [kworker/1:0H]
root             15      2       0      0 0                   0 S [migration/2]
root             16      2       0      0 0                   0 S [ksoftirqd/2]
root             18      2       0      0 0                   0 S [kworker/2:0H]
root             19      2       0      0 0                   0 S [migration/3]
root             20      2       0      0 0                   0 S [ksoftirqd/3]
root             22      2       0      0 0                   0 S [kworker/3:0H]
root             23      2       0      0 0                   0 S [perf]
root             24      2       0      0 0                   0 S [GCPU]
root             25      2       0      0 0                   0 S [writeback]
root             26      2       0      0 0                   0 S [crypto]
root             27      2       0      0 0                   0 S [bioset]
root             28      2       0      0 0                   0 S [kblockd]
root             29      2       0      0 0                   0 S [md]
root             30      2       0      0 0                   0 S [devfreq_wq]
root             32      2       0      0 0                   0 S [cfg80211]
root             33      2       0      0 0                   0 S [cfinteractive]
root             55      2       0      0 0                   0 S [kswapd0]
root             56      2       0      0 0                   0 S [vmstat]
root             57      2       0      0 0                   0 S [fsnotify_mark]
root             87      2       0      0 0                   0 S [hwrng]
root             88      2       0      0 0                   0 S [bioset]
root             89      2       0      0 0                   0 S [bioset]
root             90      2       0      0 0                   0 S [bioset]
root             91      2       0      0 0                   0 S [bioset]
root             92      2       0      0 0                   0 S [bioset]
root             93      2       0      0 0                   0 S [bioset]
root             94      2       0      0 0                   0 S [bioset]
root             95      2       0      0 0                   0 S [bioset]
root             96      2       0      0 0                   0 S [bioset]
root             97      2       0      0 0                   0 D [hps_main]
root             98      2       0      0 0                   0 S [update_tz_count]
root             99      2       0      0 0                   0 S [entropy_thread]
root            100      2       0      0 0                   0 S [hdmi_timer_kthr]
root            101      2       0      0 0                   0 S [cec_timer_kthre]
root            102      2       0      0 0                   0 S [hdmi_irq_kthrea]
root            103      2       0      0 0                   0 S [kworker/2:1]
root            104      2       0      0 0                   0 S [kthermp]
root            105      2       0      0 0                   0 S [kworker/3:1]
root            106      2       0      0 0                   0 S [MDP_CFG_ACQUIRE]
root            107      2       0      0 0                   0 S [MDP_CFG_IMGRESZ]
root            108      2       0      0 0                   0 S [MDP_CFG_IMGRESZ]
root            109      2       0      0 0                   0 S [MDP_CFG_IMGRESZ]
root            110      2       0      0 0                   0 S [MDP_CFG_NR]
root            111      2       0      0 0                   0 S [MDP_CFG_ROT]
root            112      2       0      0 0                   0 S [MDP_TRI_IMGRESZ]
root            113      2       0      0 0                   0 S [MDP_TRI_IMGRESZ]
root            114      2       0      0 0                   0 S [mdp_imgresz_hw_]
root            115      2       0      0 0                   0 S [MDP_RELEASE_TAS]
root            116      2       0      0 0                   0 S [uether]
root            117      2       0      0 0                   0 S [kpsmoused]
root            118      2       0      0 0                   0 S [dm_bufio_cache]
root            119      2       0      0 0                   0 S [kworker/u8:1]
root            120      2       0      0 0                   0 S [irq/109-sdio-ei]
root            121      2       0      0 0                   0 S [irq/132-extcon_]
root            122      2       0      0 0                   0 S [binder]
root            123      2       0      0 0                   0 S [kworker/u8:2]
root            125      2       0      0 0                   0 S [kworker/2:2]
root            126      2       0      0 0                   0 S [kworker/u8:3]
root            127      2       0      0 0                   0 S [ipv6_addrconf]
root            128      2       0      0 0                   0 S [bioset]
root            129      2       0      0 0                   0 S [mmcqd/0]
root            130      2       0      0 0                   0 S [bioset]
root            131      2       0      0 0                   0 S [mmcqd/0boot0]
root            132      2       0      0 0                   0 S [bioset]
root            133      2       0      0 0                   0 S [mmcqd/0boot1]
root            134      2       0      0 0                   0 S [kworker/1:1]
root            135      2       0      0 0                   0 S [bioset]
root            136      2       0      0 0                   0 S [mmcqd/0rpmb]
root            137      2       0      0 0                   0 S [kworker/2:1H]
root            138      2       0      0 0                   0 S [uksmd]
root            147      2       0      0 0                   0 S [pvr_timer]
root            148      2       0      0 0                   0 S [pvr_defer_free]
root            149      2       0      0 0                   0 S [pvr_device_wdg]
root            150      2       0      0 0                   0 S [pvr_cacheop]
root            151      2       0      0 0                   0 S [pvr_fce_status]
root            152      2       0      0 0                   0 S [pvr_sync_defer_]
root            153      2       0      0 0                   0 S [deferwq]
root            154      2       0      0 0                   0 S [disp_osd2_confi]
root            155      2       0      0 0                   0 S [disp_osd1_irq_k]
root            156      2       0      0 0                   0 S [disp_osd2_irq_k]
root            157      2       0      0 0                   0 S [vdp0_release_bu]
root            158      2       0      0 0                   0 S [vdp1_release_bu]
root            159      2       0      0 0                   0 S [video_disp0]
root            160      2       0      0 0                   0 S [video_disp1]
root            161      2       0      0 0                   0 S [disp_dovi_vsync]
root            162      2       0      0 0                   0 S [hdr_path_main]
root            163      2       0      0 0                   0 S [hdr_path_sub]
root            164      2       0      0 0                   0 S [hdr_path_osd]
root            165      2       0      0 0                   0 S [hdr_clock_path]
